ID,Faction,Flags,FactionGroup,FriendGroup,EnemyGroup,Enemies[0],Enemies[1],Enemies[2],Enemies[3],Friend[0],Friend[1],Friend[2],Friend[3]
1,1,72,3,2,12,0,0,0,0,0,0,0,0
2,2,72,5,4,10,0,0,0,0,0,0,0,0
3,3,72,3,2,12,0,0,0,0,0,0,0,0
4,4,72,3,2,12,0,0,0,0,0,0,0,0
5,5,72,5,4,10,0,0,0,0,0,0,0,0
6,6,72,5,4,10,0,0,0,0,0,0,0,0
7,7,0,0,0,0,0,0,0,0,0,0,0,0
10,40,2056,3,2,0,0,0,0,0,0,0,0,0
11,72,2081,3,2,12,0,0,0,0,0,0,0,0
12,72,0,2,2,4,0,0,0,0,72,0,0,0
14,14,0,8,0,1,0,0,0,0,0,0,0,0
15,7,1,0,0,0,0,0,0,0,7,0,0,0
16,14,1,8,0,1,0,0,0,0,14,0,0,0
17,15,1,8,0,1,0,0,0,0,15,0,0,0
18,19,1,8,0,1,0,0,0,0,19,0,0,0
19,17,1,8,0,1,0,0,0,0,17,0,0,0
20,16,1,8,0,1,0,0,0,0,16,0,0,0
21,20,1,8,0,1,0,0,0,0,20,0,0,0
22,22,0,8,0,1,0,0,0,0,22,0,0,0
23,54,2049,2,2,4,0,0,0,0,0,0,0,0
24,24,1,8,0,1,0,0,0,0,24,0,0,0
25,25,0,8,0,0,0,0,0,0,25,0,0,0
26,25,1,8,0,1,0,0,0,0,25,0,0,0
27,15,1,8,0,1,1,0,0,0,15,0,0,0
28,26,1,8,0,1,0,0,0,0,26,0,0,0
29,76,0,4,4,2,0,0,0,0,0,0,0,0
30,27,1,8,0,1,0,0,0,0,27,0,0,0
31,28,1024,0,0,0,0,0,0,0,148,28,0,0
32,29,16,0,0,0,28,0,0,0,0,0,0,0
33,40,2056,5,4,0,0,0,0,0,0,0,0,0
34,15,1,8,0,0,0,0,0,0,15,0,0,0
35,31,0,0,1,0,0,0,0,0,31,0,0,0
36,32,1025,0,0,0,0,0,0,0,32,0,0,0
37,33,1,8,0,1,0,0,0,0,33,0,0,0
38,29,17,8,0,1,28,0,0,0,29,0,0,0
39,18,1,8,0,1,0,0,0,0,18,0,0,0
40,34,1,8,0,1,0,0,0,0,34,0,0,0
41,35,49,8,0,1,36,0,0,0,35,0,0,0
42,36,9,1,1,0,0,0,0,0,36,0,0,0
43,35,33,8,0,0,36,0,0,0,35,0,0,0
44,37,1,8,0,1,0,0,0,0,37,0,0,0
45,38,1,8,0,1,0,0,0,0,38,0,0,0
46,39,1,8,0,1,0,0,0,0,39,0,0,0
47,41,1,8,0,1,0,0,0,0,41,0,0,0
48,42,1,8,0,1,0,0,0,0,42,0,0,0
49,43,0,8,0,1,0,0,0,0,43,0,0,0
50,44,1,8,0,1,0,0,0,0,44,0,0,0
51,45,1,8,0,1,46,40,0,0,45,0,0,0
52,769,8,8,0,0,770,0,0,0,0,0,0,0
53,49,0,2,2,12,0,0,0,0,49,0,0,0
54,48,1,8,0,1,0,0,0,0,48,0,0,0
55,47,0,2,2,4,0,0,0,0,47,0,0,0
56,49,33,2,2,12,0,0,0,0,49,0,0,0
57,47,2081,3,2,12,0,0,0,0,0,0,0,0
58,7,1,8,0,0,0,0,0,0,0,0,0,0
59,32,1,8,0,1,0,0,0,0,32,0,0,0
60,50,1,8,0,1,0,0,0,0,50,0,0,0
61,51,1,8,0,1,0,0,0,0,51,0,0,0
62,52,1,8,0,1,0,0,0,0,52,0,0,0
63,53,1,8,0,1,0,0,0,0,53,0,0,0
64,54,1,2,2,4,0,0,0,0,0,0,0,0
65,76,1,0,0,0,45,0,0,0,76,0,0,0
66,55,17,8,0,1,28,0,0,0,55,0,0,0
67,56,1,8,0,1,0,0,0,0,56,0,0,0
68,68,0,4,4,2,0,0,0,0,0,0,0,0
69,470,0,0,0,0,0,0,0,0,470,0,0,0
70,57,1,8,0,1,0,0,0,0,57,0,0,0
71,68,2081,5,4,10,0,0,0,0,0,0,0,0
72,58,1,8,0,1,0,0,0,0,58,0,0,0
73,669,1,8,0,1,0,0,0,0,669,0,0,0
74,60,1,8,0,1,289,0,0,0,60,0,0,0
76,61,33,0,2,4,0,0,0,0,61,0,0,0
77,62,0,8,0,0,0,0,0,0,0,0,0,0
78,63,0,8,0,1,0,0,0,0,0,0,0,0
79,69,2081,3,2,12,0,0,0,0,0,0,0,0
80,69,0,2,2,4,0,0,0,0,69,0,0,0
81,64,1025,8,0,1,0,0,0,0,64,0,0,0
82,65,1,8,0,1,0,0,0,0,65,0,0,0
83,66,33,4,4,2,0,0,0,0,0,0,0,0
84,189,33,2,2,4,0,0,0,0,0,0,0,0
85,76,2081,5,4,10,0,0,0,0,0,0,0,0
86,770,64,0,1,0,769,0,0,0,771,0,0,0
87,70,1,8,0,1,0,0,0,0,70,0,0,0
88,71,33,2,2,4,0,0,0,0,71,0,0,0
89,56,33,8,0,1,20,0,0,0,56,0,0,0
90,73,1,8,0,1,0,0,0,0,73,0,0,0
91,74,0,8,0,1,0,0,0,0,74,0,0,0
92,75,0,8,0,1,0,0,0,0,0,0,0,0
93,14,8,8,0,1,0,0,0,0,0,0,0,0
94,77,0,0,8,0,0,0,0,0,0,0,0,0
95,78,1,8,0,1,0,0,0,0,78,0,0,0
96,79,0,2,2,0,0,0,0,0,0,0,0,0
97,70,64,8,0,0,79,0,0,0,70,0,0,0
98,68,8,4,4,10,0,0,0,0,0,0,0,0
99,36,8,8,0,0,0,0,0,0,0,0,0,0
100,77,32,0,0,9,0,0,0,0,0,0,0,0
101,77,0,0,8,4,0,0,0,0,0,0,0,0
102,77,0,0,8,2,0,0,0,0,0,0,0,0
103,80,65,8,0,1,689,0,0,0,80,0,0,0
104,81,0,4,4,2,0,0,0,0,0,0,0,0
105,81,2081,5,4,10,0,0,0,0,0,0,0,0
106,66,33,4,4,10,0,0,0,0,0,0,0,0
107,33,0,8,0,1,0,0,0,0,0,0,0,0
108,70,64,0,0,0,79,0,0,0,70,0,0,0
109,110,1,8,0,1,0,0,0,0,110,111,0,0
110,110,33,8,0,1,85,0,0,0,110,0,0,0
111,85,1,8,0,1,0,0,0,0,85,111,0,0
112,85,33,8,0,1,110,0,0,0,85,111,0,0
113,40,2056,1,1,0,0,0,0,0,0,0,0,0
114,77,0,0,0,1,0,0,0,0,0,0,0,0
115,8,72,3,2,12,0,0,0,0,0,0,0,0
116,9,72,5,4,10,0,0,0,0,0,0,0,0
118,68,33,4,4,2,0,0,0,0,0,0,0,0
119,87,1,8,0,1,0,0,0,0,87,0,0,0
120,21,0,0,0,0,0,0,0,0,21,0,0,0
121,21,6177,1,0,8,0,0,0,0,21,0,0,0
122,47,33,2,2,4,0,0,0,0,0,0,0,0
123,72,33,2,2,4,0,0,0,0,0,0,0,0
124,69,33,2,2,4,0,0,0,0,0,0,0,0
125,76,33,4,4,2,0,0,0,0,0,0,0,0
126,530,0,4,4,2,0,0,0,0,0,0,0,0
127,35,32,0,0,1,0,0,0,0,0,0,0,0
128,88,1,8,0,1,0,0,0,0,88,0,0,0
129,89,1,8,0,1,0,0,0,0,89,0,0,0
130,90,1,8,0,1,0,0,0,0,90,0,0,0
131,91,1,8,0,1,0,0,0,0,91,0,0,0
132,92,1,8,0,1,0,0,0,0,92,0,0,0
133,93,1,8,0,1,0,0,0,0,93,0,0,0
134,94,1,8,0,1,0,0,0,0,94,0,0,0
148,14,0,8,0,1,0,0,0,0,0,0,0,0
149,108,1025,2,2,0,0,0,0,0,0,0,0,0
150,108,2081,3,2,12,0,0,0,0,0,0,0,0
151,108,0,2,0,4,0,0,0,0,0,0,0,0
152,109,1,8,0,1,0,0,0,0,109,111,0,0
153,109,0,8,0,0,0,0,0,0,109,111,0,0
154,111,1,8,0,1,0,0,0,0,109,85,111,110
168,128,0,0,0,1,0,0,0,0,0,0,0,0
188,148,1025,0,8,0,0,0,0,0,148,28,0,0
189,7,1024,0,0,0,0,0,0,0,0,0,0,0
190,148,0,0,0,0,0,0,0,0,0,0,0,0
208,168,5,2,2,0,0,0,0,0,168,0,0,0
209,168,2,2,2,0,0,0,0,0,168,0,0,0
210,189,33,2,2,12,0,0,0,0,189,0,0,0
230,573,1,8,0,1,0,0,0,0,573,0,0,0
231,40,2120,3,2,8,0,0,0,0,0,0,0,0
232,40,2120,5,4,8,0,0,0,0,0,0,0,0
233,20,33,8,0,1,68,0,0,0,20,0,0,0
250,40,2120,1,1,8,0,0,0,0,0,0,0,0
270,229,1,8,0,1,0,0,0,0,229,0,0,0
290,40,8,1,1,0,0,0,0,0,0,0,0,0
310,249,1,8,0,1,0,0,0,0,249,0,0,0
311,249,1,8,0,0,0,0,0,0,249,0,0,0
312,22,1,8,0,1,0,0,0,0,22,0,0,0
330,229,1,8,0,0,0,0,0,0,229,0,0,0
350,88,0,8,0,0,0,0,0,0,88,0,0,0
370,915,33,8,8,1,912,0,0,0,915,0,0,0
371,269,0,2,2,4,0,0,0,0,269,0,0,0
390,21,33,0,0,0,60,0,0,0,21,0,0,0
410,43,1,8,0,1,0,0,0,0,43,0,0,0
411,310,1,8,0,1,0,0,0,0,310,0,0,0
412,510,33,4,4,2,509,0,0,0,510,0,0,0
413,309,1,8,0,1,0,0,0,0,309,0,0,0
414,576,1,8,0,1,65,0,0,0,576,0,0,0
415,311,1,8,0,1,0,0,0,0,311,0,0,0
416,311,0,8,0,0,0,0,0,0,0,0,0,0
430,329,0,0,0,0,0,0,0,0,0,0,0,0
450,229,33,8,0,1,40,0,0,0,229,0,0,0
470,311,0,8,0,1,0,0,0,0,0,0,0,0
471,349,1,0,0,0,0,0,0,0,349,0,0,0
472,70,65,8,0,1,349,0,0,0,70,0,0,0
473,349,65,0,0,0,70,0,0,0,349,0,0,0
474,369,0,0,0,0,0,0,0,0,369,0,0,0
475,369,6177,1,0,8,0,0,0,0,369,0,0,0
494,389,32,8,0,1,53,0,0,0,389,0,0,0
495,40,2121,1,1,8,0,0,0,0,40,0,0,0
514,409,1,8,0,1,0,0,0,0,409,0,0,0
534,189,0,2,2,0,0,0,0,0,0,0,0,0
554,429,1,8,0,7,0,0,0,0,429,0,0,0
574,449,33,8,0,1,450,0,0,0,449,0,0,0
575,450,0,8,0,1,0,0,0,0,450,0,0,0
594,32,0,8,0,0,0,0,0,0,0,0,0,0
614,36,9,0,1,0,0,0,0,0,36,0,0,0
634,14,0,8,0,0,0,0,0,0,0,0,0,0
635,609,1,0,0,0,0,0,0,0,609,0,0,0
636,576,0,8,0,1,65,0,0,0,576,0,0,0
637,470,6177,1,0,8,0,0,0,0,470,0,0,0
654,82,1,8,0,1,0,0,0,0,82,0,0,0
655,90,9,8,0,5,0,0,0,0,90,0,0,0
674,48,1,0,0,0,0,0,0,0,48,0,0,0
694,471,0,2,2,4,0,0,0,0,471,0,0,0
695,749,1,0,0,0,0,0,0,0,749,0,0,0
714,66,33,4,4,0,0,0,0,0,0,0,0,0
734,48,1,1,1,0,0,0,0,0,48,0,0,0
735,489,0,1,1,0,0,0,0,0,489,0,0,0
736,489,1,8,0,1,0,0,0,0,489,0,0,0
754,48,65,8,0,1,34,0,0,0,48,0,0,0
774,40,8,3,2,0,0,0,0,0,0,0,0,0
775,40,8,5,4,0,0,0,0,0,0,0,0,0
776,910,0,0,0,0,249,80,0,0,910,531,0,0
777,912,33,1,1,0,915,0,0,0,912,0,0,0
778,511,1,8,0,1,0,0,0,0,511,0,0,0
794,529,0,0,0,0,0,0,0,0,529,0,0,0
795,572,1,8,0,1,0,0,0,0,572,0,0,0
814,529,1,0,0,0,0,0,0,0,529,0,0,0
834,74,1,8,0,1,0,0,0,0,74,0,0,0
854,577,6177,1,0,8,0,0,0,0,577,0,0,0
855,577,0,0,0,0,0,0,0,0,577,0,0,0
874,589,33,2,2,4,0,0,0,0,0,0,0,0
875,54,0,2,2,4,0,0,0,0,0,0,0,0
876,530,33,4,4,2,0,0,0,0,0,0,0,0
877,530,2081,5,4,10,0,0,0,0,0,0,0,0
894,108,0,2,2,4,0,0,0,0,108,0,0,0
914,679,0,0,0,0,0,0,0,0,0,0,0,0
934,575,0,8,0,1,0,0,0,0,575,0,0,0
954,73,0,8,0,1,0,0,0,0,73,0,0,0
974,20,0,8,0,1,0,0,0,0,20,0,0,0
994,609,0,0,0,0,0,0,0,0,609,0,0,0
995,81,33,4,4,2,0,0,0,0,0,0,0,0
996,609,33,1,0,8,249,0,0,0,609,0,0,0
1014,629,1,4,4,0,0,0,0,0,629,0,0,0
1015,629,0,0,0,0,0,0,0,0,629,0,0,0
1034,66,0,4,0,2,0,0,0,0,0,0,0,0
1054,471,2081,3,2,12,0,0,0,0,471,0,0,0
1055,471,33,2,2,4,0,0,0,0,471,0,0,0
1074,76,1,4,4,2,0,0,0,0,0,0,0,0
1075,108,1,2,2,4,0,0,0,0,108,0,0,0
1076,69,1,2,2,4,0,0,0,0,69,0,0,0
1077,108,33,2,2,4,0,0,0,0,108,0,0,0
1078,72,1,2,2,4,0,0,0,0,72,0,0,0
1080,31,8,0,1,0,74,0,0,0,31,649,0,0
1081,74,1,8,0,1,649,0,0,0,74,0,0,0
1094,23,1024,0,0,0,0,0,0,0,0,0,0,0
1095,679,0,0,0,0,0,0,0,0,0,0,0,0
1096,108,2080,3,2,12,679,0,0,0,0,0,0,0
1097,69,32,2,2,4,0,0,0,0,0,0,0,0
1114,689,64,8,0,1,80,0,0,0,689,0,0,0
1134,68,2080,5,4,10,679,0,0,0,0,0,0,0
1154,68,2080,5,4,10,679,0,0,0,0,0,0,0
1174,76,73,4,4,2,0,0,0,0,0,0,0,0
1194,709,0,0,0,0,0,0,0,0,0,0,0,0
1214,729,33,5,4,10,730,0,0,0,729,0,0,0
1215,729,1,4,4,2,730,0,0,0,729,0,0,0
1216,730,33,3,2,12,729,0,0,0,730,0,0,0
1217,730,1,2,2,4,729,0,0,0,730,0,0,0
1234,750,33,8,0,1,749,0,0,0,750,0,0,0
1235,750,1,8,0,1,749,0,0,0,750,0,0,0
1236,750,0,8,0,1,749,0,0,0,750,0,0,0
1254,609,6177,1,0,8,0,0,0,0,609,0,0,0
1274,7,33,0,0,4,0,0,0,0,0,0,0,0
1275,7,33,0,0,2,0,0,0,0,0,0,0,0
1294,771,0,8,0,1,770,0,0,0,0,0,0,0
1314,66,65,4,4,2,0,0,0,0,0,0,0,0
1315,189,65,2,2,4,0,0,0,0,0,0,0,0
1334,730,0,2,2,4,729,0,0,0,730,0,0,0
1335,729,0,4,4,2,730,0,0,0,729,0,0,0
1354,809,0,0,0,0,0,0,0,0,809,0,0,0
1355,809,1,0,0,0,0,0,0,0,809,0,0,0
1374,829,1,8,0,1,0,0,0,0,38,0,0,0
1375,77,32,0,0,9,0,0,0,0,0,0,0,0
1394,80,33,8,0,1,689,47,0,0,80,0,0,0
1395,916,1,8,0,1,0,0,0,0,916,0,0,0
1414,790,0,0,0,4,0,0,0,0,0,0,0,0
1415,849,0,0,0,2,0,0,0,0,0,0,0,0
1434,869,1,8,0,1,0,0,0,0,869,0,0,0
1454,36,9,0,1,0,35,0,0,0,36,0,0,0
1474,59,1,0,0,0,0,0,0,0,59,0,0,0
1475,59,0,0,0,0,0,0,0,0,59,0,0,0
1494,893,0,4,4,2,0,0,0,0,893,0,0,0
1495,893,2081,5,4,10,0,0,0,0,893,0,0,0
1496,893,33,4,4,2,0,0,0,0,893,0,0,0
1514,890,33,2,2,4,0,0,0,0,0,0,0,0
1515,889,33,4,4,2,0,0,0,0,0,0,0,0
1534,730,33,2,2,4,729,0,0,0,730,0,0,0
1554,729,2120,5,4,8,0,0,0,0,0,0,0,0
1555,909,0,0,0,0,0,0,0,0,909,0,0,0
1574,270,0,0,0,0,0,0,0,0,270,0,0,0
1575,72,33,3,2,12,0,0,0,0,0,0,0,0
1576,269,33,2,2,4,0,0,0,0,269,0,0,0
1577,509,33,2,2,4,510,0,0,0,509,0,0,0
1594,69,33,3,2,12,0,0,0,0,0,0,0,0
1595,76,33,5,4,10,0,0,0,0,0,0,0,0
1596,730,33,3,2,12,729,0,0,0,730,0,0,0
1597,729,33,5,4,10,730,0,0,0,729,0,0,0
1598,510,0,4,4,2,509,0,0,0,510,0,0,0
1599,509,0,2,2,4,510,0,0,0,509,0,0,0
1600,69,33,2,2,8,0,0,0,0,0,0,0,0
1601,910,33,0,0,0,249,80,0,0,910,531,0,0
1605,531,0,0,0,1,0,0,0,0,531,0,0,0
1606,7,0,0,4,2,7,0,0,0,0,0,0,0
1607,7,0,0,4,2,7,0,0,0,0,0,0,0
1608,609,73,1,0,8,249,0,0,0,609,0,0,0
1611,47,65,3,2,4,916,0,0,0,0,0,0,0
1612,76,65,5,4,2,916,0,0,0,0,0,0,0
1613,912,0,1,1,0,915,0,0,0,912,0,0,0
1614,14,1,8,0,1,0,0,0,0,14,0,0,0
1615,169,6177,1,0,8,0,0,0,0,21,577,369,0
1616,919,0,0,15,0,918,0,0,0,919,0,0,0
1617,918,64,0,0,1,919,0,0,0,918,0,0,0
1618,47,33,2,2,12,0,0,0,0,0,0,0,0
1619,76,33,4,4,10,0,0,0,0,0,0,0,0
1620,128,0,0,0,15,0,0,0,0,0,0,0,0
1621,921,0,2,0,4,920,0,0,0,0,0,0,0
1622,920,0,2,0,4,921,0,0,0,0,0,0,0
1624,529,2115,1,0,8,0,0,0,0,529,0,0,0
1625,529,4129,1,0,8,0,0,0,0,529,0,0,0
1626,20,33,8,0,1,679,0,0,0,20,0,0,0
1630,928,37,0,0,15,14,148,0,0,928,20,0,0
1634,928,33,8,0,0,68,72,0,0,928,20,0,0
1635,169,6161,0,0,0,891,0,0,0,169,892,0,0
1641,889,1,4,4,2,0,0,0,0,0,0,0,0
1642,890,1,2,2,4,0,0,0,0,0,0,0,0
1673,950,0,0,0,0,951,0,0,0,950,0,0,0
1676,954,0,0,15,0,0,0,0,0,954,0,0,0
1677,951,0,0,15,0,0,0,0,0,954,0,0,0
1878,1041,1,8,0,1,0,0,0,0,1041,0,0,0
3149,2403,0,0,1,2,0,0,0,0,2403,0,0,0
3150,2403,0,0,7,0,0,0,0,0,2403,0,0,0
3151,2403,0,0,3,4,0,0,0,0,2403,0,0,0
3152,2402,0,0,7,0,0,0,0,0,2402,0,0,0
3267,2505,64,8,0,1,0,0,0,0,689,80,2505,0
